Date,TimeStart,TimeEnd,Elapsed,Temperature,Weather,Location,Barn.in.out.,Animal,Sex,Treatment,Collard,CollarIssue,RelDay,AdjObTime,pro.SHU,pro.SHD,pro.lay,pro.headshake,pro.walk,pro.FHU,pro.FHD,pro.scratch,pro.social,pro.oov,TotalObs,ModTotObs
10/30/2015,8:37,8:47,10,8,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,8,3,0.1,0,0,0,0.075,0.25,0.575,0,0,0,40,40
10/30/2015,8:50,9:00,10,8,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,8,3,0,0,0,0,0,0.5,0.5,0,0,0,40,40
10/30/2015,8:50,9:00,10,8,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,8,3,0.2,0,0,0,0.15,0.275,0.375,0,0,0,40,40
10/30/2015,9:03,9:13,10,8,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,8,3,0.15,0,0,0,0.325,0.375,0.1,0.05,0,0,40,40
10/30/2015,9:03,9:13,10,8,Sunny,Meade,out,Niamey,Female,ATS,Yes,No,-3,1,0.1,0,0,0.075,0.175,0.3,0.2,0.1,0.05,0,40,40
10/30/2015,9:03,9:13,10,8,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,-3,1,0,0,0,0,0.125,0,0.825,0,0.05,0,40,40
10/30/2015,13:20,13:30,10,11,Sunny,Rivinus,out,Tex,Male,Vectronic,No,No,-4,1,0.5,0,0,0,0.5,0,0,0,0,0,40,40
10/30/2015,13:37,13:47,10,11,Sunny,Rivinus,out,Lewis,Male,Vectronic,No,No,-4,1,0.35,0,0,0,0.15,0,0,0.3,0.2,0,40,40
10/30/2015,13:50,14:00,10,11,Sunny,Rivinus,out,Dr. Bob,Male,control,No,No,-4,1,0.25,0,0.15,0,0.45,0,0.075,0.075,0,0,40,40
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Loretta,Female,control,No,No,11,3,0.25,0,0,0,0.3,0.45,0,0,0,0,40,40
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Niamey,Female,ATS,Yes,No,0,2,0.170731707,0,0,0.048780488,0,0,0.219512195,0.487804878,0.073170732,NA,41,41
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Chari,Female,Vectronic,Yes,No,0,2,0.073170732,0,0,0.195121951,0.536585366,0,0,0.195121951,0,NA,41,41
11/2/2015,10:30,10:40,10,12,Cloudy,Meade,out,Cat,Female,control,No,No,11,3,0.3,0,0,0,0.1,0,0.4,0,0.2,0,40,40
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Scout,Female,ATS,Yes,No,11,3,0.317073171,0,0,0,0.634146341,0,0,0.048780488,0,NA,41,41
